;tavg__ref;pptn__ref;petn__ref;diso__ref;ddho__ref
2010-11-24-19;0.440794;0.015412;0.00399;17.125;268.500
2010-11-24-20;0.395243;0.007591;0.00378;18.300;276.500
2010-11-24-21;0.395637;0.131418;0.00371;20.550;291.250
2010-11-24-22;0.132431;0.067278;0.00219;21.000;294.000
2010-11-24-23;-0.186544;0.000000;0.00115;21.000;294.000
2010-11-25-00;-0.230582;0.000000;0.00201;21.000;294.000
2010-11-25-01;-0.238282;0.000000;0.00169;20.850;293.250
2010-11-25-02;-0.520178;0.000000;0.00041;20.650;291.750
2010-11-25-03;-0.707185;0.000000;0.00013;20.450;290.500
2010-11-25-04;-0.665893;0.000000;0.00033;19.875;287.000
2010-11-25-05;-0.512748;0.000000;0.00053;19.400;284.000
2010-11-25-06;-0.378981;0.003587;0.00065;19.375;283.750
2010-11-25-07;-0.152939;0.193264;0.00241;19.300;283.000
2010-11-25-08;0.032319;0.196204;0.00412;19.125;282.000
2010-11-25-09;0.316853;0.034223;0.00812;18.250;276.250
2010-11-25-10;0.606074;0.000000;0.01341;18.100;275.000
2010-11-25-11;0.949620;0.025109;0.02053;18.000;274.500
2010-11-25-12;0.882404;0.173514;0.01862;17.600;271.750
2010-11-25-13;1.289479;0.118999;0.02956;17.500;271.000
2010-11-25-14;1.057410;0.099583;0.02365;17.425;270.250
2010-11-25-15;0.433490;0.404171;0.00966;17.200;269.000
2010-11-25-16;0.150835;0.560855;0.00485;17.150;268.500
2010-11-25-17;0.043304;0.527268;0.00313;17.100;268.000
2010-11-25-18;0.056897;0.611335;0.00325;17.025;267.500
2010-11-25-19;0.107960;0.612044;0.00398;16.700;265.000
2010-11-25-20;0.125987;0.293691;0.00431;16.700;265.000
2010-11-25-21;0.061895;0.344505;0.00359;17.050;267.500
2010-11-25-22;-0.010393;0.240219;0.00264;17.300;269.500
2010-11-25-23;-0.126185;0.340897;0.00153;17.700;272.250
2010-11-26-00;-0.283064;0.405495;0.00537;18.000;274.000
2010-11-26-01;-0.423212;0.334463;0.00148;18.075;274.750
2010-11-26-02;-0.453983;0.171178;0.00156;18.100;275.000
2010-11-26-03;-0.628507;0.192409;0.00012;18.100;275.000
2010-11-26-04;-0.827100;0.126194;0.00000;18.100;275.000
2010-11-26-05;-0.898221;0.024588;0.00000;18.100;275.000
2010-11-26-06;-0.912134;0.000000;0.00000;18.100;275.000
2010-11-26-07;-0.844474;0.000000;0.00000;18.100;275.000
2010-11-26-08;-0.852182;0.007716;0.00000;18.100;275.000
2010-11-26-09;-0.791713;0.039124;0.00000;17.875;273.500
2010-11-26-10;-0.614163;0.022607;0.00038;17.800;273.000
2010-11-26-11;-0.469437;0.015808;0.00340;17.800;273.000
2010-11-26-12;-0.487627;0.036538;0.00365;17.700;272.000
2010-11-26-13;-0.529241;0.066319;0.00884;17.700;272.000
2010-11-26-14;-0.527196;0.032847;0.00492;17.700;272.000
2010-11-26-15;-0.759853;0.000000;0.00070;17.700;272.000
2010-11-26-16;-1.191886;0.031689;0.00000;17.700;272.000
2010-11-26-17;-1.631790;0.025068;0.00000;17.600;271.000
2010-11-26-18;-1.755165;0.000000;0.00000;17.450;270.250
2010-11-26-19;-1.758188;0.000000;0.00000;17.400;270.000
2010-11-26-20;-2.051157;0.000000;0.00000;17.400;270.000
2010-11-26-21;-2.534862;0.000000;0.00000;17.375;269.750
2010-11-26-22;-3.043084;0.000000;0.00000;17.300;269.000
2010-11-26-23;-3.230951;0.000000;0.00000;17.150;268.250
2010-11-27-00;-3.220421;0.008373;0.00000;16.875;266.000
2010-11-27-01;-3.598351;0.008133;0.00000;16.575;264.000
2010-11-27-02;-3.673189;0.000000;0.00000;16.350;262.500
2010-11-27-03;-3.673393;0.000521;0.00000;16.075;260.250
2010-11-27-04;-3.517894;0.000521;0.00000;15.675;257.500
2010-11-27-05;-3.560634;0.007299;0.00000;15.600;257.000
