;tavg__ref;pptn__ref;petn__ref;diso__ref;ddho__ref
2010-12-21-06;-3.147671;0.785808;0.00000;11.600;216.000
2010-12-21-07;-2.731321;1.102419;0.00000;11.600;216.000
2010-12-21-08;-2.206013;0.254108;0.00000;11.375;214.500
2010-12-21-09;-1.333757;0.265892;0.00000;11.200;213.000
2010-12-21-10;-0.649782;0.109437;0.00000;11.200;213.000
2010-12-21-11;-0.039978;0.227602;0.00131;11.200;213.000
2010-12-21-12;0.328544;0.177529;0.00547;11.200;213.000
2010-12-21-13;0.535915;0.068029;0.00836;11.125;212.250
2010-12-21-14;0.571123;0.078644;0.00889;11.150;212.500
2010-12-21-15;0.563846;0.213837;0.00883;11.200;213.000
2010-12-21-16;0.353261;0.097967;0.00547;11.200;213.000
2010-12-21-17;0.522832;0.000000;0.00839;11.200;213.000
2010-12-21-18;0.494178;0.000000;0.00819;11.000;211.750
2010-12-21-19;0.615286;0.051314;0.01009;10.900;211.000
2010-12-21-20;0.669032;0.146194;0.01121;10.900;211.000
2010-12-21-21;0.735243;0.048029;0.01286;10.900;211.000
2010-12-21-22;0.839641;0.001064;0.01517;10.900;211.000
2010-12-21-23;1.073531;0.001418;0.02021;10.900;211.000
2010-12-22-00;1.122985;0.221950;0.00461;10.900;211.000
2010-12-22-01;1.162772;0.457539;0.00478;10.900;211.000
2010-12-22-02;1.156409;0.540000;0.00474;10.900;211.000
2010-12-22-03;1.254023;0.068081;0.00515;10.900;211.000
2010-12-22-04;1.237091;0.005933;0.00514;10.900;211.000
2010-12-22-05;0.972024;0.009552;0.00394;10.900;211.000
2010-12-22-06;1.280808;0.046569;0.00524;10.925;211.250
2010-12-22-07;1.463317;0.200271;0.00607;11.025;212.250
2010-12-22-08;1.282987;0.232044;0.00520;11.100;213.000
2010-12-22-09;1.561105;0.198019;0.00643;11.400;215.250
2010-12-22-10;1.749534;0.046361;0.00721;11.600;217.000
2010-12-22-11;1.722096;0.082649;0.00710;11.700;218.000
2010-12-22-12;1.754387;0.106246;0.00722;11.700;218.000
2010-12-22-13;1.797066;0.000000;0.00730;11.600;217.000
2010-12-22-14;1.739588;0.000000;0.00709;11.650;217.500
2010-12-22-15;1.825707;0.003149;0.00748;12.275;222.500
2010-12-22-16;1.645302;0.000000;0.00674;12.650;225.500
2010-12-22-17;1.559250;0.001585;0.00643;13.075;228.750
2010-12-22-18;1.649334;0.000000;0.00679;13.500;232.250
2010-12-22-19;1.690560;0.000000;0.00701;13.600;233.000
2010-12-22-20;1.811202;0.000000;0.00759;13.625;233.250
2010-12-22-21;2.036526;0.001794;0.00849;14.575;240.750
2010-12-22-22;2.055961;0.001064;0.00865;15.150;245.500
2010-12-22-23;2.322323;0.001064;0.00979;15.200;246.000
2010-12-23-00;2.024535;0.000000;0.00975;15.350;246.750
2010-12-23-01;2.143520;0.000000;0.01035;15.300;247.000
2010-12-23-02;2.085157;0.001064;0.01007;15.475;248.000
2010-12-23-03;1.925006;0.000000;0.00927;15.900;251.250
2010-12-23-04;1.607901;0.001418;0.00788;16.175;253.750
2010-12-23-05;1.321855;0.000000;0.00647;16.350;254.750
2010-12-23-06;0.951671;0.000000;0.00472;16.400;255.000
2010-12-23-07;1.109610;0.000000;0.00546;16.625;257.000
2010-12-23-08;1.047040;0.001064;0.00524;16.750;258.000
2010-12-23-09;1.770051;0.000000;0.00870;16.700;258.000
2010-12-23-10;1.741994;0.000000;0.00869;16.700;258.000
2010-12-23-11;2.125255;0.000000;0.01060;16.700;258.000
2010-12-23-12;2.616807;0.000000;0.01307;16.500;256.000
2010-12-23-13;2.591838;0.000000;0.01286;16.500;256.000
2010-12-23-14;2.557873;0.000000;0.01252;16.500;256.000
2010-12-23-15;2.726894;0.000000;0.01339;16.550;256.500
2010-12-23-16;2.153150;0.000000;0.01031;16.850;258.750
2010-12-23-17;1.752192;0.016267;0.00834;16.850;259.000
2010-12-23-18;1.650728;0.077195;0.00790;16.800;259.000
2010-12-23-19;1.565613;0.014953;0.00749;16.800;259.000
2010-12-23-20;1.396122;0.000000;0.00680;16.800;259.000
2010-12-23-21;0.904078;0.000000;0.00466;16.800;259.000
2010-12-23-22;0.652807;0.000000;0.00360;16.975;260.000
2010-12-23-23;0.560426;0.000000;0.00331;17.175;261.750
2010-12-24-00;0.277593;0.000000;0.03800;17.400;263.000
2010-12-24-01;0.077055;0.000000;0.02273;17.400;263.000
2010-12-24-02;-0.145514;0.000000;0.01077;17.400;263.000
2010-12-24-03;-0.517152;0.000000;0.00117;17.400;263.000
2010-12-24-04;-0.818958;0.002920;0.00004;17.225;262.250
2010-12-24-05;-0.707502;0.000000;0.00017;17.200;262.000
2010-12-24-06;-0.616815;0.000000;0.00056;17.200;262.000
2010-12-24-07;-0.706908;0.054953;0.00043;17.200;262.000
2010-12-24-08;-0.797415;0.106361;0.00014;17.125;261.250
2010-12-24-09;-0.823744;0.004692;0.00003;16.925;260.000
2010-12-24-10;-0.825895;0.008071;0.00003;16.500;257.000
2010-12-24-11;-0.752987;0.014004;0.00011;16.500;257.000
2010-12-24-12;-0.751156;0.029197;0.00031;16.500;257.000
2010-12-24-13;-0.993153;0.020834;0.00000;16.500;257.000
2010-12-24-14;-1.330511;0.129593;0.00000;16.500;257.000
2010-12-24-15;-1.928222;0.540250;0.00000;16.500;257.000
2010-12-24-16;-2.364069;0.953191;0.00000;16.500;257.000
2010-12-24-17;-2.762595;1.317706;0.00000;16.300;255.750
2010-12-24-18;-3.133040;1.490136;0.00000;16.200;255.000
2010-12-24-19;-3.423914;2.045287;0.00000;16.200;255.000
2010-12-24-20;-3.703952;1.691032;0.00000;16.200;255.000
2010-12-24-21;-3.903552;1.286528;0.00000;16.200;255.000
2010-12-24-22;-4.119443;1.055318;0.00000;16.200;255.000
2010-12-24-23;-4.355692;0.781919;0.00000;16.200;255.000
2010-12-25-00;-4.614965;0.520834;0.00000;16.200;255.000
2010-12-25-01;-4.885465;0.226517;0.00000;16.200;255.000
2010-12-25-02;-5.183051;0.122628;0.00000;16.200;255.000
2010-12-25-03;-5.445512;0.167497;0.00000;16.200;255.000
2010-12-25-04;-5.693147;0.235089;0.00000;16.050;254.250
2010-12-25-05;-5.870373;0.334588;0.00000;15.950;253.500
2010-12-25-06;-5.932035;0.347362;0.00000;15.475;249.500
2010-12-25-07;-5.995756;0.199166;0.00000;15.400;249.000
2010-12-25-08;-5.913672;0.168895;0.00000;15.400;249.000
2010-12-25-09;-5.780162;0.214765;0.00000;15.300;248.000
2010-12-25-10;-5.596209;0.169990;0.00000;15.025;246.250
2010-12-25-11;-5.442396;0.050136;0.00000;15.000;246.000
2010-12-25-12;-5.429851;0.034015;0.00000;15.000;246.000
2010-12-25-13;-5.686723;0.014369;0.00000;14.975;245.750
2010-12-25-14;-6.077408;0.000000;0.00000;14.550;242.500
2010-12-25-15;-6.546090;0.000000;0.00000;14.600;243.000
2010-12-25-16;-7.237765;0.000000;0.00000;14.550;242.500
2010-12-25-17;-7.936713;0.000000;0.00000;14.500;242.000
2010-12-25-18;-8.586316;0.000000;0.00000;14.500;242.000
2010-12-25-19;-9.393958;0.000000;0.00000;14.550;242.500
2010-12-25-20;-10.485321;0.000000;0.00000;14.600;243.000
2010-12-25-21;-11.423540;0.000000;0.00000;14.600;243.000
2010-12-25-22;-12.440036;0.000000;0.00000;14.600;243.000
2010-12-25-23;-13.535665;0.000000;0.00000;14.600;243.000
2010-12-26-00;-14.356288;0.000000;0.00000;14.400;241.750
2010-12-26-01;-14.726753;0.000000;0.00000;14.300;241.000
2010-12-26-02;-15.055923;0.002920;0.00000;14.300;241.000
2010-12-26-03;-15.610081;0.000000;0.00000;13.925;238.000
2010-12-26-04;-16.169991;0.000000;0.00000;13.800;237.000
2010-12-26-05;-15.794992;0.014599;0.00000;13.625;235.750
2010-12-26-06;-14.789976;0.000000;0.00000;13.125;232.000
2010-12-26-07;-13.817904;0.000000;0.00000;12.725;229.000
2010-12-26-08;-12.954735;0.013024;0.00000;12.600;228.000
2010-12-26-09;-12.126592;0.111595;0.00000;12.325;225.750
2010-12-26-10;-11.209177;0.412649;0.00000;12.100;224.000
2010-12-26-11;-10.479943;0.203775;0.00000;12.000;223.000
2010-12-26-12;-9.942033;0.123274;0.00000;11.925;220.500
2010-12-26-13;-9.606185;0.111356;0.00000;11.875;218.000
2010-12-26-14;-9.326982;0.000000;0.00000;11.800;218.000
2010-12-26-15;-9.210993;0.000000;0.00000;11.700;220.250
2010-12-26-16;-9.174226;0.036131;0.00000;11.650;222.000
2010-12-26-17;-9.030937;0.069458;0.00000;11.575;222.500
2010-12-26-18;-8.928844;0.084411;0.00000;11.500;223.750
2010-12-26-19;-8.927965;0.036861;0.00000;11.425;225.500
2010-12-26-20;-9.206281;0.000000;0.00000;11.400;227.750
2010-12-26-21;-9.253581;0.000000;0.00000;11.350;228.750
2010-12-26-22;-9.055842;0.000000;0.00000;11.300;229.000
2010-12-26-23;-8.662547;0.000000;0.00000;11.275;231.750
2010-12-27-00;-8.332289;0.002920;0.00000;11.200;233.000
2010-12-27-01;-8.085778;0.001064;0.00000;11.175;234.000
2010-12-27-02;-7.812888;0.365860;0.00000;11.100;235.000
2010-12-27-03;-7.515724;0.826246;0.00000;11.100;234.000
2010-12-27-04;-7.374352;0.262336;0.00000;11.000;233.000
2010-12-27-05;-7.178732;0.035224;0.00000;11.000;233.000
2010-12-27-06;-6.965170;0.070313;0.00000;10.925;233.000
2010-12-27-07;-6.755287;0.022649;0.00000;10.900;233.000
2010-12-27-08;-6.486688;0.116423;0.00000;10.850;233.000
2010-12-27-09;-6.135424;0.001835;0.00000;10.800;233.000
2010-12-27-10;-5.663993;0.006277;0.00000;10.775;233.000
2010-12-27-11;-4.871294;0.000000;0.00000;10.700;232.000
2010-12-27-12;-4.554956;0.002920;0.00000;10.700;223.500
2010-12-27-13;-4.104290;0.046184;0.00000;10.600;226.500
2010-12-27-14;-4.005037;0.036976;0.00000;10.600;230.250
2010-12-27-15;-4.039660;0.004067;0.00000;10.550;232.000
2010-12-27-16;-3.987741;0.000000;0.00000;10.500;232.000
2010-12-27-17;-3.924489;0.001064;0.00000;10.500;231.750
2010-12-27-18;-3.890577;0.000000;0.00000;10.400;231.000
2010-12-27-19;-3.877365;0.000000;0.00000;10.400;231.000
2010-12-27-20;-3.883582;0.054348;0.00000;10.350;231.000
2010-12-27-21;-4.021862;0.153691;0.00000;10.300;231.000
2010-12-27-22;-4.148698;0.031825;0.00000;10.300;227.750
2010-12-27-23;-4.521219;0.031387;0.00000;10.200;227.000
2010-12-28-00;-4.697055;0.000000;0.00000;10.200;225.500
2010-12-28-01;-5.325395;0.000000;0.00000;10.150;224.000
2010-12-28-02;-5.768654;0.000000;0.00000;10.100;224.500
2010-12-28-03;-6.175157;0.000000;0.00000;10.100;225.000
2010-12-28-04;-6.323650;0.000000;0.00000;10.000;225.000
2010-12-28-05;-6.376769;0.000000;0.00000;9.993;225.000
2010-12-28-06;-6.491273;0.000000;0.00000;9.955;224.750
2010-12-28-07;-6.443742;0.000000;0.00000;9.915;221.000
2010-12-28-08;-6.567572;0.000000;0.00000;9.875;208.000
2010-12-28-09;-6.787148;0.000000;0.00000;9.835;210.750
2010-12-28-10;-6.332620;0.014599;0.00000;9.800;243.750
2010-12-28-11;-5.484211;0.002920;0.00000;9.773;240.000
2010-12-28-12;-5.159935;0.000000;0.00000;9.747;227.000
2010-12-28-13;-4.904567;0.002920;0.00000;9.720;224.000
2010-12-28-14;-4.855075;0.000000;0.00000;9.698;221.500
2010-12-28-15;-5.274903;0.005839;0.00000;9.670;220.000
2010-12-28-16;-5.972961;0.005839;0.00000;9.642;220.000
2010-12-28-17;-6.813148;0.000000;0.00000;9.620;220.000
2010-12-28-18;-7.498586;0.014599;0.00000;9.593;220.000
2010-12-28-19;-8.505588;0.002920;0.00000;9.568;216.750
2010-12-28-20;-9.530199;0.000000;0.00000;9.542;202.750
2010-12-28-21;-10.206232;0.000000;0.00000;9.520;202.750
2010-12-28-22;-10.912759;0.005839;0.00000;9.493;215.500
2010-12-28-23;-11.525777;0.000000;0.00000;9.470;219.750
2010-12-29-00;-11.876632;0.002920;0.00000;9.443;219.000
2010-12-29-01;-12.384736;0.000000;0.00000;9.417;219.000
2010-12-29-02;-13.100780;0.005839;0.00000;9.392;218.000
2010-12-29-03;-13.119745;0.002920;0.00000;9.368;215.000
2010-12-29-04;-13.035855;0.005839;0.00000;9.343;215.000
2010-12-29-05;-13.073516;0.002920;0.00000;9.318;213.750
2010-12-29-06;-13.364536;0.000000;0.00000;9.292;212.000
2010-12-29-07;-13.461158;0.008759;0.00000;9.267;211.750
2010-12-29-08;-13.024199;0.003983;0.00000;9.240;211.000
2010-12-29-09;-11.707234;0.000000;0.00000;9.217;208.000
2010-12-29-10;-10.426177;0.005839;0.00000;9.193;207.000
2010-12-29-11;-9.019021;0.002920;0.00000;9.167;208.250
2010-12-29-12;-7.881868;0.049635;0.00000;9.140;209.000
2010-12-29-13;-7.393275;0.000000;0.00000;9.118;208.000
2010-12-29-14;-7.305809;0.000000;0.00000;9.090;208.250
2010-12-29-15;-8.171695;0.000000;0.00000;9.070;209.500
2010-12-29-16;-9.608046;0.008759;0.00000;9.050;210.000
2010-12-29-17;-10.525303;0.004692;0.00000;9.035;211.000
2010-12-29-18;-11.556172;0.000000;0.00000;9.015;210.250
2010-12-29-19;-11.798622;0.002920;0.00000;8.995;205.750
2010-12-29-20;-12.418978;0.000000;0.00000;8.977;205.000
2010-12-29-21;-13.207941;0.008759;0.00000;8.960;205.000
2010-12-29-22;-13.389930;0.000000;0.00000;8.945;206.750
2010-12-29-23;-13.499890;0.000000;0.00000;8.925;207.000
2010-12-30-00;-13.843842;0.000000;0.00000;8.905;207.000
2010-12-30-01;-14.002001;0.000000;0.00000;8.888;208.000
2010-12-30-02;-13.936778;0.000000;0.00000;8.870;208.750
2010-12-30-03;-13.927680;0.000000;0.00000;8.852;210.000
2010-12-30-04;-13.935263;0.000000;0.00000;8.835;206.500
2010-12-30-05;-14.087539;0.000000;0.00000;8.815;211.500
2010-12-30-06;-14.044573;0.000000;0.00000;8.798;209.500
2010-12-30-07;-13.717476;0.001418;0.00000;8.780;209.000
2010-12-30-08;-13.239682;0.001064;0.00000;8.760;206.250
2010-12-30-09;-12.034772;0.000000;0.00000;8.743;211.500
2010-12-30-10;-10.541220;0.018582;0.00000;8.725;218.000
2010-12-30-11;-9.060372;0.017518;0.00000;8.705;214.000
2010-12-30-12;-8.046619;0.067424;0.00000;8.690;211.750
2010-12-30-13;-7.439411;0.005839;0.00000;8.670;208.750
2010-12-30-14;-7.301582;0.004254;0.00000;8.653;205.250
2010-12-30-15;-7.285521;0.002920;0.00000;8.635;211.250
2010-12-30-16;-7.532481;0.007612;0.00000;8.615;212.000
2010-12-30-17;-7.635498;0.044463;0.00000;8.600;212.000
2010-12-30-18;-7.638704;0.008530;0.00000;8.580;213.000
2010-12-30-19;-7.683342;0.000000;0.00000;8.562;216.000
2010-12-30-20;-7.523259;0.002920;0.00000;8.545;218.000
2010-12-30-21;-7.453432;0.002920;0.00000;8.525;220.000
2010-12-30-22;-7.486506;0.000000;0.00000;8.507;219.250
2010-12-30-23;-7.464904;0.000000;0.00000;8.493;218.500
2010-12-31-00;-7.352008;0.000000;0.00000;8.487;217.500
2010-12-31-01;-7.270506;0.002920;0.00000;8.480;218.000
2010-12-31-02;-7.146158;0.000000;0.00000;8.480;218.000
2010-12-31-03;-7.043815;0.000000;0.00000;8.470;217.250
2010-12-31-04;-6.829548;0.000000;0.00000;8.470;217.000
2010-12-31-05;-6.681441;0.000000;0.00000;8.460;217.000
2010-12-31-06;-6.584411;0.000000;0.00000;8.460;215.750
2010-12-31-07;-6.440715;0.002920;0.00000;8.452;214.500
2010-12-31-08;-6.253264;0.001064;0.00000;8.450;214.000
2010-12-31-09;-5.875864;0.000000;0.00000;8.442;213.250
2010-12-31-10;-5.364600;0.000000;0.00000;8.440;212.750
2010-12-31-11;-5.173059;0.000000;0.00000;8.432;211.000
2010-12-31-12;-4.495106;0.013097;0.00000;8.430;211.000
2010-12-31-13;-4.380492;0.013660;0.00000;8.425;211.000
2010-12-31-14;-4.313876;0.002920;0.00000;8.420;211.000
2010-12-31-15;-4.343662;0.000000;0.00000;8.413;211.000
2010-12-31-16;-4.428296;0.024327;0.00000;8.410;211.000
2010-12-31-17;-4.433170;0.011366;0.00000;8.405;211.000
2010-12-31-18;-4.109673;0.016350;0.00000;8.400;211.000
2010-12-31-19;-4.091748;0.039072;0.00000;8.395;211.000
2010-12-31-20;-4.038903;0.047706;0.00000;8.390;211.000
2010-12-31-21;-4.059949;0.061773;0.00000;8.388;211.000
2010-12-31-22;-4.108388;0.030344;0.00000;8.380;211.000
2010-12-31-23;-4.034462;0.058676;0.00000;8.378;211.000
2011-01-01-00;-4.018901;0.025568;0.00000;8.360;211.000
2011-01-01-01;-3.971905;0.021689;0.00000;8.350;208.500
2011-01-01-02;-3.836079;0.002690;0.00000;8.340;207.000
2011-01-01-03;-3.727372;0.000000;0.00000;8.333;205.750
2011-01-01-04;-3.528824;0.002690;0.00000;8.320;202.000
2011-01-01-05;-3.393183;0.000000;0.00000;8.312;203.500
2011-01-01-06;-3.047377;0.000000;0.00000;8.305;205.000
2011-01-01-07;-2.825224;0.000000;0.00000;8.295;205.000
2011-01-01-08;-2.518605;0.000000;0.00000;8.285;205.000
2011-01-01-09;-2.470275;0.028571;0.00000;8.278;205.000
2011-01-01-10;-1.905723;0.075349;0.00000;8.267;205.000
2011-01-01-11;-1.267249;0.010052;0.00000;8.260;205.000
2011-01-01-12;-0.849050;0.049406;0.00001;8.250;205.000
2011-01-01-13;-0.561146;0.121689;0.00118;8.240;205.000
2011-01-01-14;-0.341542;0.226861;0.00262;8.230;204.750
2011-01-01-15;-0.173502;0.168571;0.00527;8.222;204.000
2011-01-01-16;-0.009039;0.068425;0.00879;8.212;204.000
2011-01-01-17;0.025217;0.147351;0.00906;8.205;204.000
2011-01-01-18;0.089422;0.116486;0.01149;8.195;204.000
2011-01-01-19;0.032480;0.126194;0.00974;8.185;204.000
2011-01-01-20;-0.270906;0.120000;0.00569;8.177;204.000
2011-01-01-21;-0.675484;0.000000;0.00058;8.167;204.000
2011-01-01-22;-1.150021;0.000000;0.00000;8.157;204.000
2011-01-01-23;-1.191925;0.000000;0.00000;8.150;204.000
2011-01-02-00;-1.185971;0.000000;0.00000;8.140;204.000
2011-01-02-01;-1.344051;0.000000;0.00000;8.130;204.000
2011-01-02-02;-2.017783;0.002920;0.00000;8.122;204.000
2011-01-02-03;-2.767849;0.000000;0.00000;8.112;204.000
2011-01-02-04;-2.680902;0.000000;0.00000;8.105;204.000
2011-01-02-05;-2.743695;0.000000;0.00000;8.095;204.000
2011-01-02-06;-2.514337;0.000000;0.00000;8.085;204.000
2011-01-02-07;-2.321197;0.000000;0.00000;8.075;204.000
2011-01-02-08;-2.340226;0.012617;0.00000;8.068;204.000
2011-01-02-09;-1.869121;0.013139;0.00000;8.060;204.000
2011-01-02-10;-1.546204;0.018425;0.00000;8.050;204.000
2011-01-02-11;-1.310542;0.014578;0.00000;8.040;203.500
2011-01-02-12;-0.941648;0.018040;0.00000;8.030;203.000
2011-01-02-13;-0.628658;0.012722;0.00539;8.023;203.000
2011-01-02-14;-0.515566;0.000000;0.01221;8.013;202.000
2011-01-02-15;-0.763121;0.000000;0.00009;8.005;202.000
2011-01-02-16;-1.171101;0.042576;0.00000;7.995;202.000
2011-01-02-17;-1.697060;0.107237;0.00000;7.985;202.000
2011-01-02-18;-1.591337;0.152450;0.00000;7.977;202.000
2011-01-02-19;-1.670824;0.137748;0.00000;7.967;202.000
2011-01-02-20;-1.746315;0.018519;0.00000;7.960;202.000
2011-01-02-21;-1.837986;0.005443;0.00000;7.950;202.000
2011-01-02-22;-1.858334;0.099280;0.00000;7.940;202.000
2011-01-02-23;-2.053531;0.234567;0.00000;7.930;202.500
2011-01-03-00;-2.252589;0.124609;0.00000;7.923;203.000
2011-01-03-01;-2.528787;0.019823;0.00000;7.912;203.000
2011-01-03-02;-2.514642;0.049051;0.00000;7.905;203.000
2011-01-03-03;-2.484372;0.008551;0.00000;7.895;203.000
2011-01-03-04;-2.461188;0.000000;0.00000;7.885;203.000
2011-01-03-05;-2.609238;0.008759;0.00000;7.878;203.000
2011-01-03-06;-2.623803;0.072596;0.00000;7.867;203.000
2011-01-03-07;-2.518635;0.147664;0.00000;7.860;202.000
2011-01-03-08;-2.542367;0.039708;0.00000;7.850;202.000
2011-01-03-09;-2.578220;0.003191;0.00000;7.840;202.000
2011-01-03-10;-1.969154;0.009906;0.00000;7.830;202.000
2011-01-03-11;-2.173995;0.011887;0.00000;7.823;202.000
2011-01-03-12;-1.672754;0.008926;0.00183;7.812;202.000
2011-01-03-13;-1.592228;0.017623;0.00000;7.805;202.000
2011-01-03-14;-1.585613;0.021679;0.00000;7.795;201.250
2011-01-03-15;-1.679989;0.139260;0.00000;7.785;201.000
2011-01-03-16;-2.502665;0.024818;0.00000;7.778;201.000
2011-01-03-17;-3.469387;0.002836;0.00000;7.767;203.750
2011-01-03-18;-3.566187;0.000000;0.00000;7.760;205.000
2011-01-03-19;-4.202127;0.000000;0.00000;7.750;201.000
2011-01-03-20;-4.467559;0.000000;0.00000;7.740;202.000
2011-01-03-21;-4.875155;0.000000;0.00000;7.730;202.750
2011-01-03-22;-4.945490;0.000000;0.00000;7.722;202.000
2011-01-03-23;-5.039392;0.000000;0.00000;7.713;202.000
2011-01-04-00;-5.084864;0.008676;0.00000;7.705;202.000
2011-01-04-01;-4.889765;0.002920;0.00000;7.695;202.000
2011-01-04-02;-4.789081;0.000000;0.00000;7.685;201.000
2011-01-04-03;-4.826556;0.000000;0.00000;7.677;201.000
2011-01-04-04;-4.914660;0.000000;0.00000;7.668;201.000
2011-01-04-05;-4.955051;0.000000;0.00000;7.660;201.000
2011-01-04-06;-5.019538;0.000000;0.00000;7.648;201.000
2011-01-04-07;-5.061230;0.000000;0.00000;7.640;201.000
2011-01-04-08;-4.994366;0.002127;0.00000;7.630;201.000
2011-01-04-09;-4.969607;0.049208;0.00000;7.622;201.000
2011-01-04-10;-4.520114;0.018154;0.00000;7.613;199.250
2011-01-04-11;-4.090947;0.028884;0.00000;7.605;199.000
2011-01-04-12;-3.587098;0.004067;0.00000;7.595;199.000
2011-01-04-13;-3.515626;0.003504;0.00000;7.585;199.000
2011-01-04-14;-3.646538;0.000000;0.00000;7.577;199.000
2011-01-04-15;-3.965267;0.000000;0.00000;7.568;199.000
2011-01-04-16;-4.368459;0.000000;0.00000;7.560;199.000
2011-01-04-17;-4.653177;0.002127;0.00000;7.550;199.000
2011-01-04-18;-4.947293;0.001064;0.00000;7.540;199.000
2011-01-04-19;-5.115800;0.001418;0.00000;7.530;200.000
2011-01-04-20;-5.397940;0.000000;0.00000;7.523;201.000
2011-01-04-21;-5.799968;0.000000;0.00000;7.513;200.750
2011-01-04-22;-5.936791;0.000000;0.00000;7.505;199.250
2011-01-04-23;-6.184183;0.000000;0.00000;7.495;199.000
2011-01-05-00;-6.486847;0.000000;0.00000;7.485;199.000
2011-01-05-01;-6.816158;0.000000;0.00000;7.477;199.000
2011-01-05-02;-7.221947;0.000000;0.00000;7.467;199.000
2011-01-05-03;-7.208930;0.000000;0.00000;7.460;199.000
2011-01-05-04;-7.221999;0.000000;0.00000;7.450;199.000
2011-01-05-05;-7.328990;0.000000;0.00000;7.440;199.000
2011-01-05-06;-7.301170;0.000000;0.00000;7.430;199.000
2011-01-05-07;-7.201942;0.000000;0.00000;7.423;199.000
2011-01-05-08;-7.235442;0.000000;0.00000;7.412;199.000
2011-01-05-09;-7.156239;0.000000;0.00000;7.405;199.000
2011-01-05-10;-6.794677;0.000000;0.00000;7.395;198.000
2011-01-05-11;-6.707786;0.000000;0.00000;7.385;198.000
2011-01-05-12;-6.521748;0.001418;0.00000;7.378;198.000
2011-01-05-13;-6.322892;0.002920;0.00000;7.367;198.000
2011-01-05-14;-6.252989;0.000000;0.00000;7.360;198.000
2011-01-05-15;-6.547017;0.000000;0.00000;7.350;197.750
2011-01-05-16;-7.427359;0.000000;0.00000;7.340;195.250
2011-01-05-17;-8.089216;0.000000;0.00000;7.330;194.500
2011-01-05-18;-8.342564;0.000000;0.00000;7.323;194.000
2011-01-05-19;-8.709178;0.000000;0.00000;7.312;194.000
2011-01-05-20;-9.133674;0.000000;0.00000;7.305;194.000
2011-01-05-21;-8.746383;0.002920;0.00000;7.295;194.000
2011-01-05-22;-8.575951;0.000000;0.00000;7.285;194.000
2011-01-05-23;-8.033941;0.002920;0.00000;7.278;194.750
2011-01-06-00;-6.903904;0.000000;0.00000;7.267;195.000
2011-01-06-01;-6.047492;0.002920;0.00000;7.260;195.250
2011-01-06-02;-5.450453;0.000000;0.00000;7.250;199.000
2011-01-06-03;-5.021087;0.000000;0.00000;7.240;202.500
2011-01-06-04;-4.563172;0.000000;0.00000;7.230;203.000
2011-01-06-05;-4.217546;0.117289;0.00000;7.222;203.000
2011-01-06-06;-3.514000;1.025892;0.00000;7.213;201.500
2011-01-06-07;-2.627820;1.416517;0.00000;7.205;200.750
2011-01-06-08;-1.383773;0.687132;0.00001;7.195;199.750
2011-01-06-09;-0.159247;0.509093;0.00138;7.205;199.000
2011-01-06-10;0.404443;0.592774;0.00342;7.270;199.000
2011-01-06-11;0.912745;0.502211;0.00635;7.340;199.000
2011-01-06-12;1.639780;0.380553;0.01118;7.410;199.000
2011-01-06-13;2.152733;0.327372;0.01473;7.580;200.250
2011-01-06-14;2.391415;0.556058;0.01642;7.787;202.000
2011-01-06-15;2.453431;0.570886;0.01687;7.870;202.750
2011-01-06-16;2.746469;1.137737;0.01897;8.423;207.250
2011-01-06-17;3.237025;1.157831;0.02268;8.958;211.500
2011-01-06-18;3.417588;0.730000;0.02401;9.802;218.000
2011-01-06-19;3.602445;0.690375;0.02569;11.025;227.000
2011-01-06-20;3.694219;0.772242;0.02638;12.600;238.250
2011-01-06-21;4.007767;0.239072;0.02871;14.650;252.500
2011-01-06-22;4.237999;0.098790;0.03061;17.000;268.500
2011-01-06-23;4.423082;0.089176;0.03229;19.450;284.500
2011-01-07-00;4.790478;0.073754;0.00917;21.950;300.500
2011-01-07-01;4.710194;0.117894;0.00899;24.250;314.750
2011-01-07-02;5.002961;0.048248;0.00955;26.775;330.000
2011-01-07-03;5.172738;0.091887;0.00989;29.425;344.500
2011-01-07-04;5.244520;0.131314;0.01002;32.325;359.000
2011-01-07-05;5.387151;0.276288;0.01030;35.550;373.750
2011-01-07-06;5.488664;0.040647;0.01049;38.925;387.500
2011-01-07-07;5.298406;0.053681;0.01013;43.025;402.000
2011-01-07-08;4.866422;0.075829;0.00934;47.325;414.750
2011-01-07-09;4.787711;0.142722;0.00920;49.000;419.000
2011-01-07-10;4.812759;0.164724;0.00924;50.325;422.000
2011-01-07-11;5.024802;0.061168;0.00965;51.450;424.500
2011-01-07-12;4.855727;0.050532;0.00930;52.225;426.250
2011-01-07-13;5.020864;0.062398;0.00959;53.100;428.000
2011-01-07-14;4.778367;0.292544;0.00913;53.600;429.000
2011-01-07-15;4.636085;1.648853;0.00883;54.600;431.000
2011-01-07-16;4.380057;2.127862;0.00833;55.425;432.500
2011-01-07-17;4.181762;1.186788;0.00795;56.600;434.500
2011-01-07-18;4.564110;1.838029;0.00871;58.200;437.000
2011-01-07-19;5.587893;0.586444;0.01072;60.550;440.000
2011-01-07-20;5.805002;0.074015;0.01116;62.550;442.000
2011-01-07-21;5.494991;0.016997;0.01048;68.500;446.250
2011-01-07-22;5.438114;0.029572;0.01041;75.500;449.750
2011-01-07-23;5.197100;0.006986;0.00995;87.350;454.000
