series_id,mean_abs_rel_change,ofv_reference_params,ofv_recalibrated,recalib_snw_dth,recalib_snw_att,recalib_snw_pmf,recalib_snw_amf,recalib_sl0_dth,recalib_sl0_pwp,recalib_sl0_fcy,recalib_sl0_bt0,recalib_urr_dth,recalib_lrr_dth,recalib_urr_wsr,recalib_urr_ulc,recalib_urr_tdh,recalib_urr_tdr,recalib_urr_ndr,recalib_urr_uct,recalib_lrr_dre,recalib_lrr_lct
1116,0.15668996,0.2420966774225235,0.22075410187244415,0.0,-0.0073488737,0.38311195,0.019849364,99.17324,60.214775,140.84065,4.1067796,2.3390954,0.6102665,0.9997797,0.14048404,182.22144,0.090905465,1.6822993e-07,0.0059025986,0.010556091,0.00016634529
1117,0.1584032,0.2409249246120453,0.23794028162956238,0.0,-0.005562741,0.53779626,0.02733405,99.89179,13.627378,150.46762,3.243126,2.1628747,1.0346204,0.99935704,0.185753,147.60464,0.2093094,3.0967703e-07,1.0314852e-07,0.008868663,3.8276358e-08
1118,0.15149833,0.22975561022758484,0.23200520873069763,0.0,0.54469573,0.86750275,0.05956365,99.645,692.9989,154.71768,3.1471517,1.7499741,1.6513878,0.9999679,0.18711026,154.12682,0.07794481,1.4191265e-07,9.719598e-06,0.0075199828,3.4578193e-08
1119,0.1565757,0.2623165547847748,0.233552023768425,0.0,-0.0067763287,0.33853132,0.021661814,99.93779,17.065254,139.39566,4.3355885,2.9436378,0.22895502,0.99967575,0.11455795,168.65662,0.9863205,5.255985e-07,0.0054323142,0.010655868,0.0004753439
1120,0.15434128,0.23758547008037567,0.22679974138736725,0.0,-0.007043951,0.41572523,0.01806434,77.73924,98.74738,126.539154,2.720479,1.8984175,0.93000114,0.999412,0.15429911,59.402752,0.7613073,3.0996333e-07,0.0014004764,0.009736083,0.00032209646
1121,0.15509163,0.22901757061481476,0.21772778034210205,0.0,-0.0073256427,0.4431791,0.019262383,99.91405,120.0744,152.5582,3.2333426,1.5771369,1.1685063,0.99991167,0.1552847,17.27305,0.67982626,9.910275e-07,2.360428e-06,0.010325266,9.779086e-08
1122,0.15616523,0.23880699276924133,0.24043749272823334,0.0,0.54437363,0.8463162,0.059765738,96.50467,699.8239,148.99254,3.290452,3.2363918,0.42087308,0.9993934,0.1753394,120.13633,0.54109395,2.1502464e-07,2.7295152e-07,0.007384542,2.7702669e-08
1123,0.15568835,0.2311198115348816,0.21037504076957703,0.0,-0.0075155315,0.38477287,0.019361021,99.62028,115.25552,142.80618,4.1699896,2.6355104,0.24210282,0.9997175,0.15952513,29.303703,0.76569444,1.7437148e-07,0.00041246307,0.010994053,0.0006264192
1124,0.1546384,0.24543049931526184,0.2432994693517685,0.0,0.54450613,0.8135122,0.05821143,93.9628,698.7463,145.20934,3.3700428,1.5899714,1.7375052,0.999823,0.16488731,111.924934,0.60548747,5.638223e-07,1.838817e-06,0.007919768,2.0491068e-08
1125,0.15657881,0.2535583972930908,0.2529717981815338,0.0,-0.0061142268,0.54591846,0.043899737,99.732864,681.895,162.48312,3.0608,1.2969497,2.195877,0.99533474,0.1612086,125.37338,0.29544422,1.1216763e-06,5.342727e-07,0.008857559,1.1701869e-08
