generation,n_eval,obj_min,obj_median,obj_max,best_obj_in_generation
40,180,0.98732590675354,2.260857582092285,274.5099792480469,0.98732590675354
41,180,1.0629901885986328,2.095731258392334,86.8252182006836,1.0629901885986328
42,180,1.1936813592910767,1.9859716296195984,163.15463256835938,1.1936813592910767
43,180,1.0880298614501953,2.260603666305542,218.11219787597656,1.0880298614501953
44,180,1.0147238969802856,1.9408237934112549,97.43964385986328,1.0147238969802856
45,180,1.1585050821304321,1.8354173302650452,208.7906494140625,1.1585050821304321
46,180,0.7708296775817871,1.9730750918388367,250.30726623535156,0.7708296775817871
47,180,1.0002187490463257,1.758311688899994,185.24664306640625,1.0002187490463257
48,180,0.7059082388877869,2.072760820388794,59.02974319458008,0.7059082388877869
49,180,0.9598716497421265,2.052893280982971,56.23628234863281,0.9598716497421265
50,180,0.8863558769226074,2.0739963054656982,32.517250061035156,0.8863558769226074
51,180,1.298661231994629,1.943775713443756,105.77527618408203,1.298661231994629
52,180,0.8050237894058228,1.7804795503616333,54.771244049072266,0.8050237894058228
53,180,0.8259481191635132,1.7460711598396301,290.5381774902344,0.8259481191635132
54,180,0.7427231073379517,1.789299726486206,44.803768157958984,0.7427231073379517
55,180,1.067347526550293,1.8855262398719788,35.92967987060547,1.067347526550293
56,180,0.49163007736206055,1.7602183818817139,62.52952194213867,0.49163007736206055
57,180,0.7073896527290344,1.740930438041687,35.523658752441406,0.7073896527290344
58,180,0.8235501646995544,1.9574917554855347,57.31779098510742,0.8235501646995544
59,180,0.6351292133331299,1.7522547841072083,22.09838104248047,0.6351292133331299
60,180,0.9701963067054749,1.9352242350578308,84.0169677734375,0.9701963067054749
61,180,0.6681102514266968,1.8278946280479431,50.55027389526367,0.6681102514266968
62,180,0.6444801688194275,1.714672029018402,31.213909149169922,0.6444801688194275
63,180,0.4307940602302551,1.7210353016853333,41.48533630371094,0.4307940602302551
64,180,0.5361245274543762,1.75042062997818,43.487857818603516,0.5361245274543762
65,180,0.45894718170166016,1.7300572991371155,62.59312057495117,0.45894718170166016
66,180,0.376977801322937,1.7399179339408875,48.51508331298828,0.376977801322937
67,180,0.49515432119369507,1.7458952069282532,49.58475875854492,0.49515432119369507
68,180,0.5214012265205383,1.7316431999206543,65.80104064941406,0.5214012265205383
69,180,0.4415169954299927,1.7425618767738342,38.6813850402832,0.4415169954299927
70,180,0.5304045677185059,1.75469970703125,101.00055694580078,0.5304045677185059
71,180,0.3001439571380615,1.7079764008522034,46.49294662475586,0.3001439571380615
72,180,0.43867921829223633,1.4341312050819397,30.40412712097168,0.43867921829223633
73,180,0.5301552414894104,1.6932231187820435,33.85068130493164,0.5301552414894104
74,180,0.3584505319595337,1.5581647753715515,40.32712173461914,0.3584505319595337
75,180,0.3843649625778198,1.4632816314697266,48.84674072265625,0.3843649625778198
76,180,0.30690836906433105,1.6682971119880676,43.1477165222168,0.30690836906433105
77,180,0.3221466541290283,1.6583802700042725,38.96197509765625,0.3221466541290283
78,180,0.22935038805007935,1.3343981504440308,56.85969543457031,0.22935038805007935
79,180,0.19738519191741943,1.2321676015853882,58.4404296875,0.19738519191741943
80,180,0.3022118806838989,1.489039123058319,45.56288146972656,0.3022118806838989
81,180,0.24960732460021973,1.6652063727378845,216.5190887451172,0.24960732460021973
82,180,0.30564749240875244,1.615394413471222,52.004852294921875,0.30564749240875244
83,180,0.303824782371521,1.6807848811149597,67.24604034423828,0.303824782371521
84,180,0.17001235485076904,1.1331263780593872,38.35112380981445,0.17001235485076904
85,180,0.25539106130599976,0.7396782040596008,30.43207550048828,0.25539106130599976
86,180,0.216549813747406,0.8546711802482605,24.815818786621094,0.216549813747406
87,180,0.1794145107269287,0.5781639814376831,23.440237045288086,0.1794145107269287
88,180,0.2072674036026001,0.5870728492736816,11.599654197692871,0.2072674036026001
89,180,0.25936514139175415,0.6879485249519348,28.85114097595215,0.25936514139175415
90,180,0.20395511388778687,0.5837674140930176,26.16604232788086,0.20395511388778687
91,180,0.15133869647979736,0.4873073101043701,25.744840621948242,0.15133869647979736
92,180,0.15456068515777588,0.5122116804122925,18.7407283782959,0.15456068515777588
93,180,0.1772913932800293,0.48118844628334045,33.475990295410156,0.1772913932800293
94,180,0.16555804014205933,0.46935391426086426,63.047760009765625,0.16555804014205933
95,180,0.17412447929382324,0.47179654240608215,24.282020568847656,0.17412447929382324
96,180,0.16299748420715332,0.47231796383857727,35.46013259887695,0.16299748420715332
97,180,0.16146773099899292,0.47762131690979004,27.047832489013672,0.16146773099899292
98,180,0.15343338251113892,0.4322720468044281,29.709333419799805,0.15343338251113892
99,180,0.13371896743774414,0.30223947763442993,31.465351104736328,0.13371896743774414
100,180,0.13439148664474487,0.465938925743103,22.06736183166504,0.13439148664474487
101,180,0.14425981044769287,0.5860553681850433,21.3227596282959,0.14425981044769287
102,180,0.1241990327835083,0.4547470808029175,23.47702407836914,0.1241990327835083
103,180,0.14718902111053467,0.5883168876171112,28.072986602783203,0.14718902111053467
104,180,0.14630937576293945,0.46797245740890503,42.43385314941406,0.14630937576293945
105,180,0.13353514671325684,0.4455792307853699,16.643714904785156,0.13353514671325684
106,180,0.13388216495513916,0.4246044158935547,25.564165115356445,0.13388216495513916
107,180,0.13062280416488647,0.4355628788471222,20.46674346923828,0.13062280416488647
