series_id,mean_abs_rel_change,ofv_reference_params,ofv_recalibrated,recalib_snw_dth,recalib_snw_att,recalib_snw_pmf,recalib_snw_amf,recalib_sl0_dth,recalib_sl0_pwp,recalib_sl0_fcy,recalib_sl0_bt0,recalib_urr_dth,recalib_lrr_dth,recalib_urr_wsr,recalib_urr_ulc,recalib_urr_tdh,recalib_urr_tdr,recalib_urr_ndr,recalib_urr_uct,recalib_lrr_dre,recalib_lrr_lct
57,0.06753479,0.09443389624357224,0.09426845610141754,0.0,-0.0058749155,0.54658425,0.041385528,99.87092,689.003,162.96344,3.0278008,1.9771925,0.65684974,0.99999076,0.17494276,128.21042,0.59878445,1.7630532e-07,3.4250277e-06,0.008980299,6.859844e-10
58,0.06556506,0.09203503280878067,0.09186595678329468,0.0,-0.007176806,0.52213645,0.044098683,99.89153,682.4615,165.47922,2.9405138,1.5236617,1.0774434,0.99991673,0.17385072,177.31136,0.88544124,1.6177832e-07,2.3164903e-06,0.009115347,1.4313584e-07
59,0.06456206,0.09147319942712784,0.09125696867704391,0.0,-0.0055945585,0.51061714,0.04728538,99.94386,643.4188,165.67188,2.8955278,1.4469433,1.0522926,0.9998614,0.17598334,187.93874,0.6479214,3.716965e-07,8.618322e-06,0.009138274,4.1601698e-08
60,0.06556162,0.09196960180997849,0.09158070385456085,0.0,-0.0054695113,0.51615846,0.044881515,99.79292,550.95636,164.3453,3.0536578,1.8247452,0.7231411,0.9999694,0.16996175,175.60548,0.5592771,4.3198008e-07,4.594934e-07,0.009258707,1.9620312e-08
61,0.06761678,0.09458070248365402,0.09452292323112488,0.0,-0.0059191957,0.53014004,0.044743944,99.82279,696.65906,166.50587,2.9195461,2.2229042,0.3968457,0.999842,0.17444472,189.81825,0.45237437,2.4780837e-07,3.3656934e-06,0.009227598,2.7585315e-08
62,0.06321107,0.09133521467447281,0.0912230908870697,0.0,-0.005808104,0.51930493,0.046524923,99.98484,372.01096,165.08919,2.95187,2.0129502,0.5852149,0.99991083,0.17507054,194.65204,0.34317487,2.7052056e-07,2.0340747e-06,0.009267096,2.79038e-08
63,0.06760199,0.09125863760709763,0.09094446897506714,0.0,-0.0074195983,0.55230397,0.04294436,99.956566,643.1854,165.00195,2.8862562,1.7617857,0.82961434,0.99978644,0.1703079,71.61987,0.13007769,2.5647198e-08,3.2029916e-07,0.009193954,2.9599914e-09
64,0.0661619,0.09454288333654404,0.0944715216755867,0.0,-0.005484621,0.52678555,0.044273958,99.99003,698.11237,163.59615,3.0015128,1.7036818,0.9082292,0.9999614,0.17920157,48.914906,0.3820418,1.11924365e-07,3.2589537e-07,0.009117515,1.8203412e-08
65,0.06642116,0.09423813968896866,0.09384052455425262,0.0,-0.005463076,0.55331457,0.04181709,99.92606,697.18286,164.37341,2.8841205,1.5557872,1.0476154,0.99917454,0.17869441,129.64581,0.6765916,4.027396e-07,2.0812936e-06,0.009006023,8.921762e-09
66,0.06521112,0.09434603154659271,0.09405957907438278,0.0,-0.005473198,0.52535087,0.043069392,99.94273,397.37497,160.92914,2.9863968,1.5658903,0.98365384,0.9999673,0.17634301,129.64125,0.6577123,5.0593073e-08,1.1485298e-06,0.009104413,2.6744116e-08
67,0.06597907,0.09236254543066025,0.09319384396076202,0.0,0.08851597,0.62785983,0.034409683,99.94297,697.41455,162.9572,2.9449203,1.559084,1.0511022,0.9998379,0.17688885,94.27352,0.02372785,2.5102028e-07,5.411452e-07,0.0089715505,2.6487209e-08
68,0.06415765,0.0921584814786911,0.09190231561660767,0.0,-0.005741974,0.5104388,0.047614332,99.98057,699.6902,164.6923,3.0171864,1.6543547,0.9468233,0.99968374,0.17472339,184.41379,0.6128541,3.5754485e-06,1.4973191e-06,0.009358852,1.388783e-07
69,0.06829593,0.09209372103214264,0.08524047583341599,0.0,-0.007278386,0.5069697,0.041324098,98.7286,533.65845,162.93265,2.9241729,3.7680554,0.08464704,0.9268501,0.007389075,37.211918,0.010339663,0.00022259692,1.8867444e-05,0.16441669,0.00017721744
70,0.06620072,0.09543143212795258,0.09545838832855225,0.0,-0.03699712,0.40768015,0.015977623,70.65377,91.738434,120.98507,2.5823448,1.4766119,0.81475276,0.9997601,0.14113095,154.29498,0.04349353,7.0717715e-07,0.0030275527,0.010959122,0.00037930853
71,0.06808166,0.09319689869880676,0.09308001399040222,0.0,-0.00548949,0.5154345,0.046799168,99.97718,508.2305,164.56969,3.0133119,1.9176637,0.68754715,0.9999869,0.18251702,54.775627,0.7970607,1.9129926e-08,2.0757804e-08,0.009062138,2.2918337e-08
72,0.06705827,0.09515786170959473,0.09490463882684708,0.0,-0.0057005454,0.52648526,0.044059385,99.993965,676.1909,161.73853,2.993256,1.5399631,1.0291404,0.99977154,0.17887467,149.53564,0.8928746,3.4701365e-08,4.425253e-09,0.009052618,4.4443233e-08
73,0.066027656,0.09146866202354431,0.09124290943145752,0.0,-0.006190694,0.5097506,0.048418675,99.92368,691.2779,167.31845,2.913559,1.5384096,0.9533097,0.9999838,0.17917731,51.504562,0.028250804,2.9031136e-07,3.6454347e-07,0.009207171,1.1974106e-07
74,0.06614579,0.09285008162260056,0.09256583452224731,0.0,-0.005667446,0.5297296,0.047708645,99.96234,697.02264,166.11008,2.8738482,1.805227,0.73543996,0.99936855,0.17890665,75.322334,0.62306917,1.8299367e-06,1.6576409e-07,0.009101884,1.3120191e-06
75,0.06698525,0.09124799072742462,0.09115813672542572,0.0,-0.005660572,0.5225789,0.046962194,99.93831,690.55316,164.41728,2.9859679,1.6454564,0.8683138,0.99979717,0.17875254,59.009018,0.5456392,2.0905651e-07,5.875206e-07,0.009266613,1.1527611e-08
76,0.06483095,0.09167629480361938,0.0916217714548111,0.0,-0.0057541085,0.51800245,0.04693689,99.91862,504.5545,165.19052,2.9672246,1.5558003,0.9481646,0.99980235,0.1805162,51.64088,0.68252695,1.2741839e-07,6.022789e-07,0.009222716,4.1266453e-08
77,0.06553591,0.09536439180374146,0.09530136734247208,0.0,-0.005507063,0.519943,0.046501167,99.97487,670.5664,163.87764,2.9920456,1.5972297,1.034252,0.99977976,0.17942944,65.46265,0.6413,9.553438e-08,7.612664e-07,0.009048188,5.831311e-09
78,0.067325555,0.0935392752289772,0.0934327244758606,0.0,-0.005468537,0.5074773,0.051155556,99.68117,692.0401,165.7056,3.0004156,1.531333,1.0532037,0.9997243,0.17804313,31.910454,0.12698062,1.3541511e-06,1.2220909e-07,0.009323575,8.579166e-08
